Metric,Baseline (Mean),MAPPO (Mean),Improvement (%)
PAR,1.9531021118164062,1.906903862953186,2.3653781414031982
Total Cost,370.54135343434245,196.15288415088486,47.06315979772488
Peak Load,6.3713274002075195,4.218879222869873,33.783355712890625
Avg Discomfort,0.0,0.05357468128204346,
