Metric,Baseline (Mean),MAPPO (Mean),Improvement (%)
PAR,1.9300302267074585,1.8660823106765747,3.3133115768432617
Total Cost,350.0162880655849,205.44715469747135,41.303544519912236
Peak Load,6.05573844909668,4.21732759475708,30.35816192626953
Avg Discomfort,0.0,0.04158658906817436,
