episode_reward,moving_avg
-126.51367551088333,-126.51367551088333
-127.63502848148346,-127.0743519961834
-131.76061034202576,-128.63643811146417
-149.65951442718506,-133.8922071903944
-143.7872982621193,-135.8712254047394
-132.25164943933487,-135.26796274383864
-119.57202404737473,-133.02568578720093
-127.81045210361481,-132.37378157675266
-124.67006641626358,-131.51781322558722
-122.29806315898895,-130.59583821892738
-145.07933795452118,-132.45240446329117
-150.60403764247894,-134.7493053793907
-128.62043678760529,-134.43528802394866
-134.66756355762482,-132.93609293699265
-164.6436311006546,-135.02172622084618
-129.78006744384766,-134.77456802129745
-141.84303033351898,-137.0016686499119
-146.86832720041275,-138.90745615959167
-119.01322221755981,-138.3417717397213
-110.54641592502594,-137.166607016325
-112.39993613958359,-133.89866683483123
-150.10829961299896,-133.84909303188323
-158.52907466888428,-136.83995682001114
-152.56795436143875,-138.62999590039254
-121.47107237577438,-134.3127400279045
-121.31401360034943,-133.46613464355468
-161.77750194072723,-135.4595818042755
-143.01488763093948,-135.0742378473282
-113.04787248373032,-134.47770287394525
-146.8926568031311,-138.11232696175574
-160.65163028240204,-142.9374963760376
-120.77227687835693,-140.00389410257338
-145.0351670384407,-138.65450333952904
-152.3022094964981,-138.62792885303497
-102.49327182769775,-136.7301487982273
-111.16019135713577,-135.71476657390593
-109.46614336967468,-130.4836307168007
-106.67765235900879,-126.84990718960762
-118.12439960241318,-127.35755990147591
-141.12144804000854,-126.78043902516364
-111.73005819320679,-121.88828181624413
-107.59310525655746,-120.57036465406418
-112.89584994316101,-117.35643294453621
-104.56800132989883,-112.58301212787629
-145.49350571632385,-116.88303551673889
-131.4872346520424,-118.91573984622956
-151.68724662065506,-123.13785017132759
-106.72784441709518,-123.14286937713624
-115.86132502555847,-122.91656191945076
-121.4942193031311,-120.95383904576302
-115.4133734703064,-121.32217057347297
-103.40302836894989,-120.90316288471222
-122.22592234611511,-121.83617012500763
-99.26242071390152,-121.30561206340789
-133.8223403096199,-120.1384955227375
-124.30273193120956,-119.42004525065423
-141.05560153722763,-118.35688074231147
-139.76971513032913,-121.66106781363487
-98.29785907268524,-119.90472121834755
-95.78090441226959,-117.3333897292614
-98.52546620368958,-115.64459900259972
-135.32697796821594,-118.83699396252632
-125.98230820894241,-119.21263254880905
-128.08547496795654,-122.09493797421456
-98.54642182588577,-118.56734612584114
-122.72604876756668,-118.40967780947685
-140.7628389596939,-118.38040155172348
-131.11284512281418,-117.51471455097199
-89.712049305439,-116.65613357424736
-117.10233545303345,-118.78827667832374
-113.16884076595306,-120.2526141345501
-121.46856588125229,-118.86677292585372
-101.84218966960907,-116.45276107192039
-102.93915820121765,-113.9381293952465
-110.86377102136612,-115.16986431479454
-95.7869747877121,-112.47595691680908
-127.19826430082321,-111.119499450922
-84.61805325746536,-106.47002026438713
-126.09439212083817,-110.10825454592705
-87.06595665216446,-107.10461666584015
-93.80451720952988,-105.16818431019783
-84.3146960735321,-101.4527973294258
-92.42315316200256,-100.51089367866516
-115.02362936735153,-101.71934079527855
-128.46735322475433,-103.47969901561737
